Year,Month,Day,Period,61906_SolarPhotovoltaic_PHOEB,60044_SolarPhotovoltaic_BKTH1,61368_SolarPhotovoltaic_PV1,60123_SolarPhotovoltaic_CGAP,59994_SolarPhotovoltaic_ROSEK,60581_SolarPhotovoltaic_UCTX,60436_SolarPhotovoltaic_1,59206_SolarPhotovoltaic_OCIA6,59205_SolarPhotovoltaic_OCIA5,59207_SolarPhotovoltaic_OCIA7,62448_SolarPhotovoltaic_LAP,62415_SolarPhotovoltaic_WOTP1,60372_SolarPhotovoltaic_LSPV1,58537_SolarPhotovoltaic_1,58717_SolarPhotovoltaic_1,57699_SolarPhotovoltaic_AES1,57197_SolarPhotovoltaic_1,63027_SolarPhotovoltaic_20,61871_SolarPhotovoltaic_GEN1,61532_SolarPhotovoltaic_GEN1,61524_SolarPhotovoltaic_GEN1,61810_SolarPhotovoltaic_GEN1,58068_SolarPhotovoltaic_1,58027_SolarPhotovoltaic_1,63180_SolarPhotovoltaic_TXWHT,60789_SolarPhotovoltaic_UNIT1,61875_SolarPhotovoltaic_GEN1,61868_SolarPhotovoltaic_GEN1,61867_SolarPhotovoltaic_GEN1,61697_SolarPhotovoltaic_IVORY,60989_SolarPhotovoltaic_PV1,60682_SolarPhotovoltaic_PEARL,58710_SolarPhotovoltaic_BRLA,58488_SolarPhotovoltaic_1,61874_SolarPhotovoltaic_GEN1,60774_SolarPhotovoltaic_GEN1
2018,11,8,8,53.749024875,115.21575,39.127510012500004,38.697320025,89.8340625,32.249414925,25.475158800000003,24.9361851375,13.22998677,21.499609950000004,21.499609950000004,57.0375,21.499609950000004,3.2194864352,5.238949023,2.373091756,1.0677705836,0.6770752083333333,0.3034395,0.3034395,0.3034395,0.3034395,0.9263226314999999,0.9263226314999999,0.91105026075,6.447905100000001,0.6082579,0.964951043,0.964951043,10.749804975000002,28.51875,10.749804975000002,17.225325,5.70375,0.8806619250000003,1.3562669250000003
2018,11,8,9,6.075243,172.641825,4.4225757,4.3739514,134.60934375000002,3.6451458000000003,2.8794528,2.8185327,9.28124071875,2.4300972,2.4300972,85.46625,2.4300972,1.4204813727999999,3.675283115625,1.047040484,0.4711149604,2.363804967333333,0.7401756374999998,0.7401756374999998,0.7401756374999998,0.7401756374999998,0.4158056699999999,0.4158056699999999,0.41320250212500004,0.7288055999999999,2.9017234750000003,0.9462820990000004,0.9462820990000004,1.2150486,42.733125,1.2150486,25.810807500000003,8.546625,0.39971002499999997,0.6155750249999999
2018,11,8,10,19.350774,174.98250000000002,14.086722600000003,13.931845200000001,136.43437500000002,11.610464400000001,9.171590400000001,8.9775486,7.143742856250001,7.740309600000002,7.740309600000002,86.62500000000001,7.740309600000002,3.7404652768,2.8288542768750005,2.757106604,1.2405577324000001,5.3223527976666665,0.9612529875000001,0.9612529875000001,0.9612529875000001,0.9612529875000001,1.0706996002500002,1.0706996002500002,0.622588136625,2.3213808,4.687960287500002,1.206480506,1.206480506,3.870154800000001,43.31250000000001,3.870154800000001,26.160750000000004,8.662500000000001,0.6022731,0.9275331000000001
2018,11,8,11,34.59513375,167.39235000000002,25.184111625000003,24.90722325,130.51631250000003,20.757080250000005,16.396884000000004,16.049977875000003,9.6074903925,13.838053500000003,13.838053500000003,82.8675,13.838053500000003,4.005024844799998,3.80447488575,2.9521141439999985,1.3283012063999995,2.2088901596666664,1.072875375,1.072875375,1.072875375,1.072875375,1.1446206082500001,1.1446206082500001,1.101502087875,4.150143,2.385120875000001,2.597316834,2.597316834,6.919026750000001,41.43375,6.919026750000001,25.025985000000006,8.286750000000001,1.0691430750000002,1.646538075
2018,11,8,12,45.226809,162.71099999999998,32.9236191,32.561638200000004,126.86625,27.136085400000006,21.435926400000003,20.982410100000003,8.426241573750001,18.090723600000004,18.090723600000004,80.55,18.090723600000004,5.327822684799999,3.3367115801250002,3.927151844,1.7670185764,5.652765499333334,2.27579625,2.27579625,2.27579625,2.27579625,1.5176906955000002,1.5176906955000002,1.4411968672500002,5.4255528,5.174358300000001,3.2927349980000002,3.2927349980000002,9.045361800000002,40.275,9.045361800000002,24.3261,8.055,1.3973602500000002,2.15201025
2018,11,8,13,34.988899499999995,164.23357500000006,25.47076005,25.190720099999997,128.05340625000005,20.9933397,16.583515199999997,16.23266055,15.828734171250003,13.995559799999999,13.995559799999999,81.30375000000002,13.995559799999999,5.295261507199999,6.268028295375001,3.903150916,1.7562193796,7.023165721,0.652394925,0.652394925,0.652394925,0.652394925,1.5130706325,1.5130706325,1.6182836538750003,4.197380399999999,7.313676325,4.027824668,4.027824668,6.997779899999999,40.65187500000001,6.997779899999999,24.55373250000001,8.130375000000003,1.5717594750000001,2.420594475
2018,11,8,14,27.310467375,169.8921,19.881115762500002,19.662531525000002,132.46537500000002,16.386280425000002,12.9442068,12.6703483875,10.124989875,10.924186950000001,10.924186950000001,84.105,10.924186950000001,3.4677654143999996,4.0093997625,2.556098832,1.1501144592,3.181711819,0.374964525,0.374964525,0.374964525,0.374964525,0.993313545,0.993313545,1.094819567625,3.2762511,4.734829475,1.27182181,1.27182181,5.4620934750000005,42.0525,5.4620934750000005,25.399710000000002,8.4105,1.0637269500000002,1.6381969500000002
2018,11,8,15,14.681837250000001,171.68737500000003,10.687891275000002,10.570382550000001,133.86515625000004,8.809102350000002,6.958677600000001,6.811454025000001,3.94874605125,5.872734900000001,5.872734900000001,84.99375000000002,5.872734900000001,1.0948695967999997,1.5636659073749999,0.8070312039999998,0.36312299239999996,7.237663147000001,0.37388081250000005,0.37388081250000005,0.37388081250000005,0.37388081250000005,0.31993936275000007,0.31993936275000007,0.32410223212500006,1.7612802,5.822194625000001,0.845936525,0.845936525,2.9363674500000005,42.49687500000001,2.9363674500000005,25.668112500000007,8.499375000000002,0.313052025,0.48211702500000003
2018,11,8,16,112.81388737500001,146.66715000000002,82.1247737625,81.221847525,114.35681250000002,67.688332425,53.469838800000005,52.3385863875,26.27997372,45.12555495,45.12555495,72.60750000000002,45.12555495,10.5050499232,10.406619828,7.743299396000001,3.484090867600001,4.425363561666666,2.2172757749999996,2.2172757749999996,2.2172757749999996,2.2172757749999996,2.9868707295000005,2.9868707295000005,2.8233648056250007,13.533515099999999,4.266137600000001,2.956694005999999,2.956694005999999,22.562777475,36.30375000000001,22.562777475,21.927465000000005,7.260750000000002,2.7448921500000005,4.227282150000001
2018,11,8,17,30.010575375000002,53.699175,21.846704962500002,21.606509925,41.86940625,18.006345225000004,14.223963600000001,13.9230295875,8.8424911575,12.004230150000001,12.004230150000001,26.58375,12.004230150000001,2.0106527167999997,3.5015424592499995,1.4820573039999998,0.6668504024,0.6055760663333334,0.14846861249999999,0.14846861249999999,0.14846861249999999,0.14846861249999999,0.57635285925,0.57635285925,0.552421674,3.6001647,0.5843025375,0.32670652,0.32670652,6.002115075000001,13.291875,6.002115075000001,8.0282925,2.658375,0.5361963750000001,0.8257713750000002
