Year,Month,Day,Period,Coast,East,Far_West,North,North_Central,South,South_Central,West
2018,1,3,0,11996.168,1944.572,2648.1299,1344.4257,16740.8457,4898.5361,8996.6367,1846.6104
2018,1,3,1,12038.4307,1952.578,2642.4131,1336.1929,16625.9648,4891.418,8986.8877,1847.376
2018,1,3,2,12051.4189,1970.9814,2643.9871,1354.2994,16861.1035,4946.3926,9080.2637,1836.1849
2018,1,3,3,12354.0645,2030.1235,2665.053,1366.8411,17136.4902,5012.0723,9360.6328,1850.8029
2018,1,3,4,13155.6924,2143.9431,2697.7961,1421.479,18282.2852,5289.1055,10136.1006,1934.098
2018,1,3,5,14219.6807,2321.1653,2761.6289,1514.9001,20427.0684,5820.6479,11124.4004,2052.3086
2018,1,3,6,14735.1621,2375.8379,2802.1138,1547.3291,20693.0,6087.1338,11428.6289,2096.1328
2018,1,3,7,14653.1416,2382.2014,2780.9204,1552.9906,20677.1211,6081.8975,11245.8828,2061.9915
2018,1,3,8,14342.3545,2390.3259,2747.886,1552.0901,20272.0059,6042.7041,10822.7959,1967.2418
2018,1,3,9,13943.8643,2347.7007,2717.6323,1517.6003,19554.877,5814.4463,10206.1572,1848.4312
2018,1,3,10,13596.7148,2283.7441,2680.7090000000003,1437.0406,18540.541,5524.2124,9514.6162,1709.0844
2018,1,3,11,13120.916,2180.5369,2631.3899,1341.3119,17446.2051,5252.2671,9101.9521,1585.8378
2018,1,3,12,12729.3457,2101.5085,2594.1711,1274.6897,16683.377,4936.4604,8426.6611,1486.9709
2018,1,3,13,12318.0293,2032.2604,2578.1921,1209.5422,16025.9297,4681.8794,7951.626999999999,1424.4979
2018,1,3,14,11970.5049,1986.8011,2568.197,1154.4701,15690.9131,4359.2578,7705.0576,1402.6521
2018,1,3,15,12037.7197,1979.2479,2570.4741,1132.2744,15667.499,4332.873,7521.1104,1404.4342
2018,1,3,16,12557.2637,2048.0171,2597.9363,1164.1754,16651.4434,4347.2002,7869.4922,1452.7466
2018,1,3,17,13097.5645,2120.4929,2661.4294,1234.6797,17923.9902,4645.4829,8432.376,1547.6002
2018,1,3,18,13153.293,2134.0176,2666.4148,1279.7712,18441.3457,4791.4092,8739.6396,1615.9811
2018,1,3,19,13190.0791,2132.0813,2657.1196,1302.8721,18481.7324,4852.7578,9112.8779,1684.4712
2018,1,3,20,12929.7266,2110.3613,2645.9241,1295.7997,18268.043,4807.8013,9239.958,1720.5669
2018,1,3,21,12413.8975,2020.4773,2610.4155,1262.4874,17335.3555,4726.1831,9117.0273,1718.7469
2018,1,3,22,11926.7803,1954.5802,2569.0264,1222.4722,16156.666,4440.5132,8735.4512,1684.7513
2018,1,3,23,12650.5996,2154.53,2309.3899,1266.23,15179.9004,4458.1699,7345.5,1608.1
2018,1,4,0,11369.5,1846.0,2425.5901,1187.88,14911.7002,4837.9399,7489.3398,1691.39
2018,1,4,1,11431.4004,1949.9301,2411.8,1147.05,15226.2002,4810.9199,8010.1201,1675.7
2018,1,4,2,11433.5,2021.0699,2697.8501,1214.02,15153.7002,4952.0801,7864.9702,1686.13
2018,1,4,3,11748.2998,2040.65,2374.25,1263.53,15880.4004,4581.6499,8772.2998,1604.5699
2018,1,4,4,12328.2998,2145.6201,2488.5,1275.61,16076.5,5758.1201,8382.1904,1709.71
2018,1,4,5,13271.5996,2231.5701,2587.99,1392.64,18240.0996,4937.7002,9452.8604,1798.09
2018,1,4,6,13495.5996,2247.5701,2597.6299,1392.0,17630.5996,4954.02,9862.3701,1876.47
2018,1,4,7,12861.2998,2254.46,2624.99,1390.16,17913.1992,5233.2998,9452.9102,1894.37
2018,1,4,8,13180.2002,2247.3799,2927.3201,1415.35,17516.9004,4664.4302,8445.7598,1675.55
2018,1,4,9,12843.7002,2273.96,2889.9099,1407.13,17433.3008,4732.02,8024.73,1815.14
2018,1,4,10,13663.7998,2133.5,2842.6299,1361.84,16325.7002,4764.3999,7613.3999,1648.1899
2018,1,4,11,13197.5,2017.89,2551.02,1291.41,15508.0996,4591.02,6961.8198,1464.85
2018,1,4,12,11914.5,1961.42,2700.0701,1197.8199,14893.5,4549.73,7121.5801,1365.74
2018,1,4,13,10902.4004,1621.52,2270.3799,1101.3,14747.4004,4259.4199,6810.27,1310.95
2018,1,4,14,10735.7998,1786.12,2355.78,1138.8,13983.7998,3057.3601,6380.5801,1354.35
2018,1,4,15,11114.2998,1733.72,2539.97,1167.1,13895.7998,3244.25,6960.7402,1405.58
2018,1,4,16,11601.2002,1965.51,2484.28,1184.61,15188.2998,3395.46,7274.25,1441.04
2018,1,4,17,12908.5996,2314.03,2454.76,1321.97,16907.9004,4203.7998,8031.5,1631.61
2018,1,4,18,13023.9004,2369.3,2531.6899,1296.23,16914.0,5092.0898,8328.8496,1734.66
2018,1,4,19,12742.5,2225.54,2553.72,1305.86,17536.0,4933.2998,8249.9805,1675.8
2018,1,4,20,12887.7998,2164.3201,2839.1599,1289.36,16843.0996,4762.5801,8024.7402,1740.65
2018,1,4,21,12120.7002,2024.71,2302.8,1139.9,16108.0996,4473.77,7114.3901,1751.8
2018,1,4,22,11462.2998,2028.16,2565.5701,1183.49,15317.0,4023.0601,7172.5801,1565.25
2018,1,4,23,10947.7002,1933.8101,2623.0601,1189.83,14432.5996,4096.96,6939.21,1503.15
2018,1,5,0,10758.5,1741.14,2365.49,1123.89,13353.4004,4092.9099,6430.0298,1455.03
2018,1,5,1,10766.7998,1813.04,2366.1699,1139.3199,13520.2998,3775.0701,6378.79,1421.13
2018,1,5,2,10788.5,1920.65,2295.5901,1151.4301,13956.7998,3863.8301,6650.1499,1517.72
2018,1,5,3,10902.2002,1912.28,2316.9199,1236.36,14546.0,3821.6101,7009.9102,1647.71
2018,1,5,4,11722.0,2117.51,2433.3601,1216.29,15614.2998,4171.8101,7835.8198,1480.37
2018,1,5,5,12824.0996,2145.1001,2491.0701,1314.28,16706.5,4310.6299,8152.48,1553.64
2018,1,5,6,12798.0996,2129.8899,2499.8999,1288.58,16861.4004,4450.1299,8633.9102,1554.9399
2018,1,5,7,12787.2998,2094.75,2417.6101,1235.1899,16802.5996,4167.02,8124.3398,1620.84
2018,1,5,8,12473.0996,1975.98,2583.79,1307.9301,16011.2998,4029.1201,7886.8901,1575.5601
2018,1,5,9,12248.0,1955.9301,2365.1799,1369.88,15381.7002,3922.49,7489.9502,1339.0601
2018,1,5,10,11851.2998,1870.7,2455.8999,1254.79,14605.9004,3570.2,7126.3999,1280.88
2018,1,5,11,11552.0996,1719.64,2375.8601,1208.96,14115.0,3477.6599,6997.46,1261.12
2018,1,5,12,11369.7998,1698.1899,2488.75,1127.74,13565.4004,3258.72,6529.9702,1174.9
2018,1,5,13,10769.7998,1480.15,2302.73,1158.91,12206.0,2966.6399,6148.6499,1130.5601
2018,1,5,14,10968.0,1630.24,2520.4299,1051.02,12201.2002,3164.2,6042.0098,1100.03
2018,1,5,15,10788.2002,1620.58,2281.76,1047.17,12195.9004,3336.6899,6248.1499,1102.6899
2018,1,5,16,11162.2998,1728.28,2409.4199,1080.53,13127.9004,3346.78,6716.7402,1209.89
2018,1,5,17,12248.7002,1896.6899,2659.6899,1107.58,14794.5996,3847.0901,7471.73,1372.15
2018,1,5,18,12337.2002,1899.22,2408.1499,1150.45,15071.4004,3850.99,7539.1499,1400.89
2018,1,5,19,11976.2998,1959.74,2760.9299,1127.41,14787.0996,3687.5801,7628.3599,1394.08
2018,1,5,20,11729.2002,1874.58,2490.25,1102.03,14594.2002,4000.96,7291.5498,1324.76
2018,1,5,21,11376.7002,1756.77,2602.1101,1128.48,14015.9004,3677.29,6883.0,1378.51
2018,1,5,22,10664.7998,1702.91,2516.72,1041.0,13305.9004,3497.98,6533.3398,1369.48
2018,1,5,23,10023.0996,1678.64,2315.3799,1065.79,11945.4004,3147.78,6215.0298,1278.02
2018,1,6,0,9556.9902,1670.4,2437.3601,1010.43,11417.2002,2964.74,5821.8398,1187.4301
2018,1,6,1,9447.1797,1650.54,2460.6499,1000.32,11113.2002,3055.1201,5820.2598,1194.6
2018,1,6,2,9454.4297,1647.78,2470.97,978.443,11384.7998,2933.55,5743.0,1216.67
2018,1,6,3,9525.04,1686.4301,2487.8301,1044.4,11528.2998,2939.5901,5833.1001,1216.42
2018,1,6,4,9793.3896,1741.37,2488.9399,1087.9301,11999.0996,3047.75,6116.0298,1255.76
2018,1,6,5,10242.0996,1823.1,2511.97,1122.8,13026.7002,3296.1899,6381.0601,1345.88
2018,1,6,6,10526.5996,1917.3,2578.3101,1180.2,13855.2002,3365.72,6864.6001,1404.0601
2018,1,6,7,10589.5,1908.88,2550.54,1187.9,13826.2002,3440.4399,6849.46,1414.0699
2018,1,6,8,10597.0,1889.47,2521.45,1185.05,13769.0,3346.8601,6730.6802,1348.54
2018,1,6,9,10486.0,1819.9,2458.8701,1191.8199,13287.5,3269.1299,6493.8101,1292.62
2018,1,6,10,10222.4004,1668.35,2428.5801,1110.02,12610.2998,3169.55,6160.4399,1212.28
2018,1,6,11,9872.3701,1631.47,2409.78,1071.64,12071.0996,2978.95,5798.7002,1183.35
2018,1,6,12,9661.6699,1562.88,2359.8,1015.96,11567.7002,2905.8999,5635.6401,1100.66
2018,1,6,13,9507.7695,1532.17,2338.23,1025.04,11014.2002,2774.77,5388.0,1064.1899
2018,1,6,14,9393.79,1494.76,2332.8101,996.91,11044.5996,2803.6499,5397.8301,1066.0
2018,1,6,15,9447.9404,1530.76,2295.48,996.053,10787.0996,2887.22,5484.9702,1058.34
2018,1,6,16,9754.4102,1599.8199,2327.1699,984.991,11364.2002,2920.1201,5730.3501,1133.6899
2018,1,6,17,10243.5,1708.01,2388.6001,1029.23,12323.2998,3035.6699,6157.2798,1188.9301
2018,1,6,18,10181.0996,1684.27,2416.73,1030.7,12074.4004,3078.9099,6086.3901,1280.15
2018,1,6,19,10016.7002,1644.38,2444.3799,1003.39,11903.2998,2952.6899,5992.8301,1244.3101
2018,1,6,20,9928.6699,1646.74,2429.8101,995.68,11620.2998,2901.26,5787.0098,1265.28
2018,1,6,21,9809.2002,1581.22,2446.1799,958.998,11205.0,2838.3799,5631.3701,1223.77
2018,1,6,22,9311.8203,1504.8,2408.1899,923.052,10737.0,2774.5,5363.6602,1125.05
2018,1,6,23,8926.1396,1461.39,2370.8501,898.02,10388.5,2677.1299,5179.1401,1041.3
2018,1,7,0,8620.6504,1381.16,2393.3799,869.3439999999999,9917.3701,2519.02,4934.3198,922.925
2018,1,7,1,8587.3799,1418.74,2417.97,831.8589999999999,9552.7002,2531.1699,4793.0,922.169
2018,1,7,2,8575.4697,1382.65,2412.3,827.8989999999999,9635.9102,2480.21,4721.5698,868.6080000000001
2018,1,7,3,8424.3496,1394.72,2391.6399,855.081,9618.5098,2513.2,4796.0698,945.459
2018,1,7,4,8493.75,1468.2,2407.8201,862.6469999999999,9866.4297,2522.9299,4803.4102,959.785
2018,1,7,5,8734.9199,1489.53,2450.4099,901.308,10232.0996,2517.78,5081.1602,961.463
2018,1,7,6,9052.1299,1573.89,2480.5901,933.264,10791.5996,2618.4299,5239.8799,1043.38
2018,1,7,7,9138.9902,1589.61,2473.7,988.882,11042.7002,2689.77,5450.5801,1091.58
2018,1,7,8,9397.2305,1602.11,2457.76,1004.16,11395.7998,2814.78,5573.3599,1108.02
2018,1,7,9,9469.8301,1597.62,2441.3999,993.67,11456.5996,2846.3101,5554.0898,1073.2
2018,1,7,10,9557.1904,1478.9399,2444.8899,988.184,11369.2002,2868.72,5500.1699,1073.16
2018,1,7,11,9587.7305,1468.05,2425.5601,1002.04,11330.5996,2865.8101,5436.6699,1060.48
2018,1,7,12,9698.1904,1405.9399,2419.1399,959.201,11003.7002,2858.2,5271.3198,978.728
2018,1,7,13,9685.4199,1440.22,2400.3999,958.9,10774.0996,2918.78,5168.0298,1042.79
2018,1,7,14,9552.6504,1411.5699,2375.5601,936.896,11083.7002,2847.27,5129.3701,983.104
2018,1,7,15,9549.6504,1443.4399,2383.53,932.583,10739.4004,2860.8601,5194.0098,996.698
2018,1,7,16,9806.3203,1447.0699,2410.49,906.876,11193.2002,2887.0601,5450.98,976.821
2018,1,7,17,10485.9004,1549.78,2476.76,962.139,11920.0,3087.52,5919.77,1091.5601
2018,1,7,18,10402.5,1530.5601,2494.52,963.997,12054.9004,3097.6699,5859.48,1129.67
2018,1,7,19,10136.7998,1549.88,2522.1101,975.184,11740.4004,3082.0601,5790.8901,1107.89
2018,1,7,20,9849.3896,1429.86,2523.05,950.123,11242.7998,3013.1201,5572.0898,1097.74
2018,1,7,21,9378.4697,1301.86,2494.4399,897.221,10632.7998,2898.54,5288.7402,1047.22
2018,1,7,22,8830.4297,1293.8,2479.8799,864.826,9874.6104,2684.6599,4884.2998,984.16
2018,1,7,23,8419.3301,1292.6,2478.8301,847.863,9365.9805,2524.52,4622.7998,949.32
2018,1,8,0,8272.6104,1339.59,2400.3301,848.6110000000001,9127.1797,2384.45,4460.0698,1078.48
2018,1,8,1,8171.2002,1323.66,2415.8899,851.332,9151.3701,2259.6799,4345.5,1074.08
2018,1,8,2,8255.3398,1343.58,2427.8799,840.59,9357.71,2267.48,4450.1201,1117.66
2018,1,8,3,8598.5195,1381.05,2447.99,874.7130000000001,9920.2197,2348.6499,4642.4302,1111.79
2018,1,8,4,9219.9004,1457.96,2508.4399,957.292,11221.0,2564.0901,5168.6099,1271.74
2018,1,8,5,10126.2998,1680.33,2576.79,1053.77,12740.4004,2856.21,6021.0898,1361.05
2018,1,8,6,10464.7998,1756.75,2641.77,1076.03,13695.7002,2991.1101,6441.9199,1416.37
2018,1,8,7,10424.5,1801.2,2598.8101,1093.91,13189.5,2943.77,6306.2998,1391.87
2018,1,8,8,10505.7998,1802.6899,2518.9199,1117.23,13043.2998,2971.3899,6029.1099,1278.22
2018,1,8,9,10594.7998,1763.9399,2501.48,1115.78,13081.9004,2947.8,5964.8198,1209.4301
2018,1,8,10,10503.5996,1621.0699,2426.4199,1090.77,12705.7998,2849.48,5860.3799,1143.76
2018,1,8,11,10420.9004,1632.6899,2416.28,1051.29,12418.7998,2863.5801,5729.3301,1087.4399
2018,1,8,12,10310.7002,1567.98,2380.46,1026.17,12153.5996,2834.21,5601.9399,1048.5601
2018,1,8,13,10245.2002,1569.95,2380.3101,1003.73,11855.7002,2731.48,5529.4399,999.678
2018,1,8,14,10157.9004,1551.84,2374.1899,953.421,11423.7998,2772.8799,5382.1401,1024.21
2018,1,8,15,10198.4004,1604.76,2409.98,984.831,11654.0,2766.8999,5542.4902,1024.52
2018,1,8,16,10523.4004,1683.87,2371.6599,997.226,12300.2998,2842.1499,5887.46,1068.42
2018,1,8,17,10954.9004,1780.1899,2453.78,1068.42,13358.7002,3042.99,6458.1602,1230.28
2018,1,8,18,10972.9004,1802.2,2479.55,1070.24,13679.2998,3169.95,6544.1802,1210.73
2018,1,8,19,10765.4004,1752.5601,2441.1799,1081.4399,13570.4004,3126.0801,6462.23,1238.29
2018,1,8,20,10519.2002,1722.13,2484.8899,1061.8,13116.2002,3051.8999,6155.1001,1203.61
2018,1,8,21,10160.7998,1580.99,2433.45,982.863,12288.5996,2895.0601,5970.9199,1173.79
2018,1,8,22,9538.29,1516.97,2419.1699,952.117,11541.7998,2757.3799,5527.3101,1121.8
2018,1,8,23,9452.21,1400.29,2477.95,965.282,12369.2002,3112.24,5750.1699,1299.84
2018,1,9,0,9457.54,1374.38,2354.28,928.473,11970.2998,3004.3401,5327.1001,1287.62
2018,1,9,1,9663.8896,1438.3101,2343.6399,943.824,12174.5,2950.0,5451.54,1286.95
2018,1,9,2,9725.5703,1467.14,2297.78,939.059,12518.7998,3055.3799,5582.8799,1343.23
2018,1,9,3,9776.7402,1525.64,2342.26,968.811,12920.9004,3110.71,5971.6602,1400.5601
2018,1,9,4,10643.0,1685.09,2457.8301,1011.52,13986.7002,3343.26,6661.48,1378.04
2018,1,9,5,11355.7998,1859.17,2529.3601,1136.58,15894.0996,3765.46,7208.98,1465.76
2018,1,9,6,11551.7002,1876.79,2548.6599,1143.97,16611.1992,3903.0,7368.27,1462.23
2018,1,9,7,11446.7002,1772.8101,2461.79,1119.4,15515.9004,3548.72,7055.6802,1472.47
2018,1,9,8,11422.7998,1735.45,2574.02,1171.58,15083.0,3430.6001,6939.1299,1433.73
2018,1,9,9,11356.2002,1653.5,2433.6101,1203.26,14264.7002,3317.5601,6454.4902,1311.28
2018,1,9,10,10898.5,1607.23,2467.98,1138.11,13485.5,3006.3101,6159.8101,1243.64
2018,1,9,11,10709.4004,1546.11,2452.3501,1106.49,13189.7002,2939.75,6173.6401,1198.79
2018,1,9,12,10970.4004,1496.41,2525.51,1034.22,12498.5996,2809.7,5916.3198,1095.25
2018,1,9,13,10453.9004,1421.58,2347.52,1001.29,11807.0,2849.1599,5693.6001,1104.67
2018,1,9,14,10470.9004,1452.3101,2398.1001,973.984,11634.0,2890.51,5540.02,1108.78
2018,1,9,15,10100.2998,1500.7,2362.3799,937.556,11601.7998,2991.9299,5824.77,1094.08
2018,1,9,16,10426.2998,1606.4301,2452.71,984.042,12795.5996,2916.7,6011.8701,1147.0601
2018,1,9,17,10931.2002,1676.6899,2607.1201,995.673,13058.2998,3222.1101,6432.0898,1252.4301
2018,1,9,18,11022.7998,1681.72,2423.5801,1011.72,13144.2002,3082.48,6459.4399,1316.8
2018,1,9,19,10993.2998,1587.33,2700.5701,974.254,12939.2998,3033.22,6468.2598,1297.87
2018,1,9,20,10781.7002,1618.76,2530.4299,929.192,12558.2002,3233.52,6255.1001,1223.8
2018,1,9,21,10451.5,1529.2,2593.3101,981.485,11999.2998,3141.3701,6000.29,1249.23
2018,1,9,22,9913.3096,1479.09,2541.1101,880.753,11418.7002,2981.6899,5729.1099,1218.08
2018,1,9,23,9486.0596,1420.13,2364.24,836.299,11236.9004,2898.98,5570.7002,1283.76
2018,1,10,0,8748.3096,1325.5601,2346.1399,799.5160000000001,10312.9004,2819.8701,5447.9502,1270.47
2018,1,10,1,8685.1201,1312.3,2296.9099,755.62,10164.7998,2725.01,5496.7998,1202.4
2018,1,10,2,8612.9199,1310.78,2300.8301,771.4960000000001,10314.0996,2817.5701,5630.3999,1216.54
2018,1,10,3,8878.6504,1351.5601,2349.53,800.316,10701.4004,2817.6299,5940.23,1322.13
2018,1,10,4,9870.0996,1475.16,2430.3201,842.707,11570.7998,2949.79,6559.1001,1321.64
2018,1,10,5,10552.0,1643.84,2497.6699,888.9839999999999,12992.0996,3215.3601,7251.0098,1384.24
2018,1,10,6,10732.4004,1660.52,2536.71,944.66,14002.0,3323.05,7440.98,1451.09
2018,1,10,7,10618.2998,1630.02,2453.9299,986.175,13671.5996,3146.53,7096.1401,1440.5601
2018,1,10,8,10696.4004,1664.77,2468.0,1008.43,13728.0,2980.6299,6937.6001,1323.77
2018,1,10,9,10738.4004,1605.11,2444.98,977.067,13584.5,3009.98,6589.7998,1307.4399
2018,1,10,10,10423.0,1510.62,2415.6299,967.576,13106.0996,2863.6001,6261.29,1235.35
2018,1,10,11,10423.0996,1504.26,2378.2,954.954,12684.4004,2864.6299,6234.29,1199.05
2018,1,10,12,10792.7002,1443.28,2218.8301,890.9939999999999,12248.7998,2837.3601,5977.6602,1090.0699
2018,1,10,13,10514.5,1437.42,2353.23,837.684,11716.0996,2877.95,5712.23,1164.1
2018,1,10,14,10459.7998,1422.89,2195.3,895.0,11575.7998,2897.29,5582.8198,1203.53
2018,1,10,15,10104.0996,1452.09,2363.6899,785.1060000000001,11306.7998,3096.4399,5714.3701,1142.55
2018,1,10,16,10374.4004,1507.9,2417.71,880.079,12113.7002,2899.3999,6017.2598,1192.28
2018,1,10,17,10749.7998,1567.42,2290.8401,900.0269999999999,12830.4004,3127.8899,6364.73,1353.66
2018,1,10,18,10703.5,1588.54,2538.8301,880.7260000000001,12994.4004,3016.46,6337.3198,1277.29
2018,1,10,19,10658.7002,1484.8199,2499.0801,931.444,12537.5,2899.8,6310.6602,1294.41
2018,1,10,20,10173.7998,1493.4399,2461.2,790.4889999999999,12272.0,2832.4199,6135.9102,1212.09
2018,1,10,21,9770.1904,1412.53,2442.8201,864.99,11304.2002,2731.55,5703.3599,1238.27
2018,1,10,22,9202.1602,1306.75,2493.96,794.409,10654.7002,2644.1699,5309.8398,1208.5699
2018,1,10,23,8677.1797,1212.12,2536.4399,780.7439999999999,9692.2305,2531.8201,5003.98,1220.53
2018,1,11,0,8164.8999,1195.58,2376.1499,783.796,8254.4805,2312.3401,4656.52,1290.4301
2018,1,11,1,8123.3101,1143.58,2345.27,798.41,8487.21,2303.29,4651.1899,1296.11
2018,1,11,2,8196.0898,1184.46,2309.98,792.645,8593.4805,2293.8601,4599.6299,1408.0699
2018,1,11,3,8391.3701,1191.53,2349.8799,832.5989999999999,9565.6904,2303.95,4782.5,1544.3
2018,1,11,4,9370.7803,1291.48,2411.6399,864.308,9912.3301,2429.5901,5291.6602,1471.1899
2018,1,11,5,10139.4004,1468.67,2450.02,982.892,11652.2002,2842.8,5962.27,1716.48
2018,1,11,6,10379.7002,1524.6,2504.5,956.583,12559.4004,2880.49,6317.7998,1844.46
2018,1,11,7,10449.0,1516.53,2517.3501,995.627,12526.7002,2940.1899,6234.3101,1815.14
2018,1,11,8,10965.4004,1590.66,2634.6599,1079.86,13256.0,2883.03,6224.8101,1600.76
2018,1,11,9,11151.7998,1440.0699,2532.95,1050.7,13512.2002,2964.0,6167.23,1676.21
2018,1,11,10,10900.5,1511.01,2484.29,1067.26,13651.5,2910.9399,5940.1001,1479.14
2018,1,11,11,10846.5,1505.5601,2441.77,1055.71,13997.9004,2904.1201,6013.2598,1508.78
2018,1,11,12,11031.5,1454.76,2378.1899,1001.14,14129.2002,2886.47,5749.4302,1506.5
2018,1,11,13,10915.2002,1484.22,2438.25,1048.9,14197.7002,2879.01,5934.6401,1447.39
2018,1,11,14,10704.7998,1451.42,2330.71,1060.3,14817.0996,2849.76,5971.46,1558.02
2018,1,11,15,10454.2002,1506.4,2420.9199,1025.53,15107.5,2937.4399,6091.6699,1494.21
2018,1,11,16,10751.2002,1618.09,2449.8301,1093.73,15340.0996,2833.1799,6554.9102,1555.99
2018,1,11,17,11260.0,1767.24,2372.1299,1181.79,17171.5,3065.1599,7190.7598,1653.88
2018,1,11,18,11825.9004,1815.0601,2639.54,1161.13,17029.0,3087.2,7307.7998,1645.0601
2018,1,11,19,11923.7998,1772.03,2534.6699,1169.78,17401.0996,2994.76,7357.6001,1630.75
2018,1,11,20,11814.9004,1910.8101,2502.9099,1089.85,16306.7002,3080.3501,7268.8398,1654.34
2018,1,11,21,11372.5,1758.1801,2580.7,1000.18,15459.5,3013.73,6651.5801,1517.27
2018,1,11,22,10904.7998,1812.9399,2564.6499,989.422,14303.7002,2926.0701,6395.25,1495.9
2018,1,11,23,10141.2998,1742.75,2543.53,1004.52,13637.0996,2843.54,6263.1099,1509.45
2018,1,12,0,10290.5762,1614.8561,2436.2424,1050.561,14246.8525,2624.1125,6314.7935,1531.8586
2018,1,12,1,10252.1953,1617.2576,2438.4436,1054.4714,14294.4482,2704.8477,6321.6079,1570.9371
2018,1,12,2,10321.6738,1646.2903,2457.6118,1083.8121,14721.2793,2873.6575,6576.2607,1621.641
2018,1,12,3,10750.5186,1720.9768,2482.8687,1125.7166,15347.5146,3067.1777,6893.6611,1664.1357
2018,1,12,4,11569.5605,1857.0765,2538.626,1222.5269,16931.9063,3379.5449,7675.1802,1760.3629
2018,1,12,5,12683.793,2079.5471,2606.5198,1339.3796,18974.4629,3968.2224,8768.4082,1933.3209
2018,1,12,6,13256.6367,2142.3335,2687.0203,1397.1589,19767.4492,4118.0,9111.0576,1990.4634
2018,1,12,7,13361.2627,2154.0964,2662.8472,1377.9543,19338.8496,4023.1384,9080.0879,1901.6422
2018,1,12,8,13342.8311,2146.9021,2657.731,1419.2836,19021.4902,4071.0884,8933.8047,1751.4485
2018,1,12,9,13171.832,2116.2378,2619.345,1363.1508,18645.498,3843.8364,8676.7676,1679.6033
2018,1,12,10,12846.5166,2058.4258,2581.4929,1362.2069,17864.6543,3624.3193,8205.5693,1582.6332
2018,1,12,11,12268.4102,2011.0714,2535.2134,1336.5238,16927.0781,3329.8992,7539.3774,1485.3851
2018,1,12,12,11919.1914,1958.6251,2535.1426,1316.2655,15981.543,3088.7441,7050.3682,1412.3904
2018,1,12,13,11400.7842,1909.9402,2429.918,1295.3521,15157.4365,2904.6294,6607.7822,1420.1384
2018,1,12,14,10849.1416,1795.1606,2345.2502,1239.5563,14539.5791,2859.9087,6248.0615,1414.7261
2018,1,12,15,10821.8701,1826.5424,2255.0737,1197.5598,14447.6025,2839.9158,6224.7788,1355.6969
2018,1,12,16,11227.2881,1934.2885,2235.4373,1175.649,14992.1465,2842.5366,6363.4253,1411.6495
2018,1,12,17,11791.5723,1993.433,2326.4768,1220.348,16280.6689,3014.1624,6992.4365,1515.6641
2018,1,12,18,11927.3076,1994.5372,2385.1621,1228.3348,16507.6387,3175.2141,7245.9351,1506.6675
