Year,Month,Day,Period,Coast,East,Far_West,North,North_Central,South,South_Central,West
2018,1,2,0,12041.1143,2085.9570000000003,2733.3157,1393.97,17603.5977,4874.4404,8802.7373,1945.8528
2018,1,2,1,11988.6367,2081.2148,2747.1633,1392.1443,17559.2051,4801.4819,8762.6064,1924.2791
2018,1,2,2,12003.5957,2089.4729,2752.4539,1404.7813,17660.2656,4762.0605,8843.835,1932.4969
2018,1,2,3,12350.4551,2147.1226,2770.4446,1416.8771,18163.9336,4825.7715,9125.6221,1957.3499
2018,1,2,4,13117.9482,2287.7949,2806.7947,1468.5959,19602.6289,5090.5112,9837.0039,2057.5886
2018,1,2,5,14182.7852,2521.8755,2870.6643,1571.3832,21316.0859,5626.6719,10785.8008,2218.2378
2018,1,2,6,14714.2275,2610.623,2933.2754,1629.774,22356.709,5826.4409,11442.3047,2297.0139
2018,1,2,7,14732.0186,2632.853,2930.3718,1656.4402,22628.8379,5964.4131,11370.1738,2288.7295
2018,1,2,8,14734.0225,2661.5952,2913.8076,1687.6144,22553.5,6022.2969,11213.2852,2238.0879
2018,1,2,9,14707.335,2633.0496,2908.3853,1698.4282,22610.3105,6056.4956,11019.2383,2181.5137
2018,1,2,10,14614.8154,2580.4592,2895.8435,1662.4719,22334.0957,6050.6499,10763.9326,2112.0359
2018,1,2,11,14318.8135,2495.1216,2863.241,1612.9777,21856.1602,6035.2637,10645.2246,2029.7496
2018,1,2,12,14084.2324,2441.0474,2831.9314,1602.0426,21589.4414,6007.8066,10441.2373,1967.1244
2018,1,2,13,13856.1719,2394.4253,2798.3259,1568.4252,20967.4492,5965.8330000000005,10216.8965,1911.7179
2018,1,2,14,13589.7461,2355.2483,2769.0388,1529.2804,21159.877,5794.3936,10161.6729,1880.3889
2018,1,2,15,13470.4209,2347.9695,2757.4087,1496.7333,21221.0781,5880.4238,10164.7275,1841.1982
2018,1,2,16,14187.75,2412.802,2764.4246,1541.8455,22206.5586,5977.1108,10713.8857,1899.0322
2018,1,2,17,14635.7881,2464.5515,2827.9077,1580.408,23225.2109,6226.6099,11248.9482,2002.2852
2018,1,2,18,14548.6543,2462.7419,2844.3994,1574.7844,23083.8574,6167.8633,11203.5059,2040.4563
2018,1,2,19,14481.3828,2434.3494,2840.1658,1564.1068,22658.4473,6074.8423,11160.4316,2075.3105
2018,1,2,20,14089.665,2380.9233,2826.6731,1523.7915,22106.7422,5952.4976,10702.3213,2074.2678
2018,1,2,21,13456.2432,2205.9436,2790.5488,1462.6282,20718.8242,5714.5967,10180.3877,2019.3346
2018,1,2,22,12896.2695,2091.7344,2745.1826,1398.9351,19124.8965,5421.3384,9521.7402,1959.5944
2018,1,2,23,12275.0801,2001.8346,2711.7996,1363.5305,18037.8613,5058.3789,8942.7354,1889.4945
