Year,Month,Day,Period,Coast,East,Far_West,North,North_Central,South_Central,South,West
2018,1,2,0,11885.23112,2115.7453,2482.927022,1350.683665,17406.14714,8516.253581,4760.628377,1844.1265670000007
2018,1,2,1,11834.71965,2132.611084,2479.397644,1361.598165,17378.196780000002,8488.470785,4728.098063,1842.0658670000007
2018,1,2,2,11949.69767,2157.978658,2496.3967079999998,1372.536947,17495.131999999998,8577.75651,4722.747233,1842.040558
2018,1,2,3,12289.44596,2227.211589,2537.00295,1406.5158789999994,17959.93734,8828.50765,4797.44104,1867.172679
2018,1,2,4,12893.00326,2346.185486,2585.678853000001,1467.205841,18897.909509999998,9334.329590000001,4994.56783,1939.2540789999998
2018,1,2,5,13504.40397,2457.931091,2631.90743,1530.784485,19820.30632,9818.819336,5243.195638,2006.559428
2018,1,2,6,13781.78564,2501.8084719999997,2642.954325,1557.381826,20165.13167,9989.559733,5353.237671,2028.346273
2018,1,2,7,14026.75496,2526.530863,2636.4715579999997,1567.21932,20324.41211,10032.17643,5474.825968,2024.3872379999998
2018,1,2,8,14265.212809999999,2523.220601,2634.047831,1580.200002,20464.630530000002,10059.13338,5560.212931,2014.5724079999998
2018,1,2,9,14382.60116,2495.977254,2624.275818,1577.549835,20383.17708,10039.25423,5586.877889,1993.757375
2018,1,2,10,14267.35946,2443.261617,2620.9246420000004,1571.0368449999999,20131.33398,9917.649984,5541.435832,1920.96225
2018,1,2,11,14158.289880000002,2385.148682,2615.472819,1527.744822,19884.83626,9757.614746,5455.854696,1886.422709
2018,1,2,12,14060.092040000001,2338.844971,2596.629496,1487.387319,19721.81022,9665.613444,5399.843831,1865.8226730000001
2018,1,2,13,13994.54435,2319.421305,2543.000142000001,1479.8928429999999,19686.3846,9677.205484999999,5389.9223630000015,1841.052195
2018,1,2,14,13992.066490000001,2326.033427,2490.749003,1490.147298,19851.94499,9843.029867,5432.010905,1821.899974
2018,1,2,15,14225.71134,2391.1222940000002,2491.286296,1429.604513,20359.08105,10174.72168,5521.504354,1900.754395
2018,1,2,16,14805.19181,2496.433004,2575.288534,1485.304952,21391.95296,10720.050459999999,5753.416748,1999.4091190000001
2018,1,2,17,14863.230880000001,2505.666361,2662.2100219999998,1511.854655,21570.16862,10923.122309999999,5915.599243,2054.572052
2018,1,2,18,14754.13224,2477.607747,2671.469971,1514.332682,21335.30273,10865.11711,5933.626668,2065.860352
2018,1,2,19,14542.599119999999,2436.050151000001,2669.695964,1476.329163,20890.03255,10683.028240000001,5891.581706,2046.064575
2018,1,2,20,14119.59505,2352.021159,2605.243551,1437.354309,20091.1639,10247.25659,5751.671794,2019.8038329999997
2018,1,2,21,13603.38761,2241.512288,2511.82135,1395.2066140000006,19135.83431,9732.769775,5528.186605,2014.5414629999998
2018,1,2,22,13179.15535,2193.761169000001,2423.083272,1383.672434,18541.48714,9417.580729000001,5323.882284,2045.032888
2018,1,2,23,12942.249590000001,2164.952413,2393.1321,1395.786407,18401.71338,9265.449219,5190.340251,2055.861715
2018,1,3,0,12896.05469,2180.669332,2394.554484,1411.023326,18386.35042,9298.263101999999,5077.7259109999995,2066.670268
2018,1,3,1,12977.32625,2253.75297,2372.2493289999998,1417.261953,18525.19385,9462.871175,5038.030192,2100.874023
2018,1,3,2,13188.33708,2323.80953,2341.194519,1427.657817,18919.136880000002,9678.874268000001,5040.720744,2147.980387
2018,1,3,3,13640.97673,2400.2274780000002,2401.92098,1455.340688,19547.67399,10051.93547,5134.010864,2134.638896
2018,1,3,4,14319.987140000001,2584.8004960000007,2440.522257,1513.269409,20673.99723,10682.34294,5385.735799,2193.390198
2018,1,3,5,14933.20915,2702.158305,2475.880595,1572.421926,21673.63639,11318.80615,5651.62439,2264.7262370000008
2018,1,3,6,14838.509030000001,2700.313192,2481.376058,1554.5198970000001,21744.07731,11325.834640000001,5637.765828000001,2244.837321
2018,1,3,7,14635.98527,2597.3087570000002,2465.830139,1540.4597880000001,20754.46159,10733.126629999999,5551.702718,2062.808604
2018,1,3,8,14415.31885,2461.428609,2420.6131179999998,1515.6094460000006,19559.47656,9956.892497,5317.2473549999995,1828.154409
2018,1,3,9,14007.329590000001,2328.748617,2370.658386,1464.468018,18273.594559999998,9132.812743999999,5012.795085,1664.450826
2018,1,3,10,13491.11694,2177.0433550000002,2304.760457,1392.835571,17158.11214,8370.972127,4697.086751,1535.0800880000006
2018,1,3,11,13017.47461,2038.3415929999999,2257.112203,1314.273051,16091.17098,7724.881592,4367.807536,1396.8580630000001
2018,1,3,12,12554.011390000001,1961.801127,2252.400553,1246.764486,15249.12467,7202.075521,4074.482157,1308.29835
2018,1,3,13,12163.2373,1874.853811,2245.303833,1186.245076,14513.32918,6826.203369,3830.328247,1245.5428259999999
2018,1,3,14,11914.21419,1842.513234,2269.979777,1159.870341,14245.200359999999,6648.407145,3678.980774,1211.92336
2018,1,3,15,11990.221759999999,1894.297434,2277.144613,1138.895721,14570.67375,6803.920125,3692.4622799999997,1288.3084
2018,1,3,16,12856.25252,2080.56485,2341.927897,1229.5961300000001,16001.454590000001,7554.411784000001,4046.2173060000014,1428.429789
2018,1,3,17,13322.546709999999,2184.6562089999998,2438.7100219999998,1274.018107,16791.10189,8120.359496999998,4442.135783,1553.319132
2018,1,3,18,13451.14575,2169.9097699999998,2485.825256,1288.817576,17037.92969,8292.878906,4666.236084,1635.5726220000001
2018,1,3,19,13430.947430000002,2246.652608,2491.068644,1297.0684609999996,17030.02279,8408.812256000001,4830.56311,1693.3985899999998
2018,1,3,20,13156.15446,2208.126017,2443.696838,1280.245483,16621.39803,8315.320679,4848.523641,1722.538127
2018,1,3,21,12711.7417,2129.933858,2408.536214,1239.335826,15998.665280000001,7969.771932,4791.0696609999995,1693.559825
2018,1,3,22,12366.15991,2074.271159,2385.774984,1211.932526,15533.401530000001,7775.243286,4672.017904,1689.3294469999994
2018,1,3,23,12196.45858,2078.829447,2359.552307,1207.7593279999999,15380.313719999998,7772.319906000002,4572.710612,1697.3329059999999
2018,1,4,0,12130.93636,2038.075389,2349.536743,1220.79951,15427.496180000002,7824.0011799999975,4575.283407,1710.982595
2018,1,4,1,12190.2627,2075.454671,2354.615336,1229.003123,15619.29077,7991.019531,4574.3338619999995,1728.533732
2018,1,4,2,12376.86572,2117.68335,2383.351705,1244.908976,15956.821780000002,8194.372152,4634.392822,1738.388041
2018,1,4,3,12792.360270000001,2209.813924,2413.692057,1269.20636,16733.33765,8584.712728,4786.286296,1788.201019
2018,1,4,4,13478.35848,2338.126872,2454.113586,1341.3109029999996,17904.46126,9259.972248999999,5052.907267000001,1887.7499690000002
2018,1,4,5,14066.77327,2503.868632,2520.687093,1412.871236,19081.63525,9931.36263,5337.030436,1970.1946510000002
2018,1,4,6,14028.02629,2539.325277,2560.955994,1414.411163,19125.42171,9834.457926000001,5353.372437,1970.0828350000002
2018,1,4,7,13647.795080000002,2437.553426,2551.129659,1402.907552,18161.21631,9200.095133,5102.783691,1850.2621559999998
2018,1,4,8,13184.90381,2248.030314,2600.549418,1368.842417,17016.58431,8315.001099,4674.146525,1599.022919
2018,1,4,9,12680.23755,2094.055705,2527.228597,1306.580973,16012.42114,7628.42688,4191.848938,1539.7754009999999
2018,1,4,10,12135.527909999999,1967.275909,2493.380208,1250.0917359999999,15133.2592,7132.330933,3799.391073,1457.2015279999994
2018,1,4,11,11687.20638,1850.534027,2477.899862,1199.59785,14369.35685,6729.418742,3512.761475,1337.698079
2018,1,4,12,11306.88306,1744.9830120000001,2530.0436600000007,1145.518799,13723.98405,6526.996094,3308.8637489999996,1237.6335960000001
2018,1,4,13,11015.61694,1678.3793440000006,2551.810608,1087.0277,13214.05135,6520.74056,3162.266927,1244.95815
2018,1,4,14,10913.028559999999,1679.772532,2567.4344690000007,1069.235331,13306.9353,6603.891886,3107.339762,1296.444956
2018,1,4,15,11099.670409999999,1755.060425,2594.091777,1091.105184,13881.4471,6838.521444,3130.282166,1344.068807
2018,1,4,16,11895.45939,1930.889791,2646.013489,1164.391897,15155.79956,7442.156901,3347.456584,1424.6701150000001
2018,1,4,17,12153.26123,2008.511332,2646.036845,1197.260356,15633.40259,7726.540894,3613.406169,1513.044312
2018,1,4,18,12152.14071,2021.8379309999998,2681.643616,1210.896098,15783.6543,7709.0094400000025,3708.297852,1489.510834
2018,1,4,19,11964.92505,2033.870911,2646.9694210000002,1199.406718,15766.90072,7564.110758,3767.346863,1485.637807
2018,1,4,20,11545.59896,1984.214722,2648.4381510000007,1172.7951859999996,15259.08285,7191.484456,3751.921875,1380.055969
2018,1,4,21,11058.33968,1906.2041120000001,2604.561096,1122.784119,14498.17798,6699.835571000001,3647.368815,1302.47112
2018,1,4,22,10628.36995,1838.4308059999998,2535.318705,1093.5388289999999,13985.33114,6370.283691,3502.312785,1283.7444460000004
2018,1,4,23,10360.82422,1848.0864559999998,2499.201314,1085.1227820000001,13691.5092,6156.833008,3407.622925,1281.569092
2018,1,5,0,10235.187909999999,1832.6077579999999,2513.704366,1088.335256,13673.97559,6076.245972,3381.417725,1261.991557
2018,1,5,1,10198.0201,1836.354309,2559.912781,1100.545837,13797.0214,6074.173421,3397.9067990000012,1243.064412
2018,1,5,2,10305.68083,1872.16627,2610.2189940000007,1120.7913310000001,14171.156980000002,6181.228475,3433.5813799999996,1262.063446
2018,1,5,3,10678.2089,1963.131877,2671.395345,1162.513977,14861.34733,6462.204142000001,3540.9915969999997,1286.022949
2018,1,5,4,11290.18815,2111.4842329999997,2731.392069,1242.03479,16020.68717,7028.029012000001,3757.824117,1362.4099119999996
2018,1,5,5,11898.42554,2235.4920859999997,2767.740336,1331.454824,17195.53125,7586.400513,4013.831807,1486.3203939999999
2018,1,5,6,11986.7085,2210.487528,2757.613098000001,1338.625468,17319.97266,7687.779785,4036.0120439999996,1536.926107
2018,1,5,7,11979.84888,2139.4669089999998,2728.784526000001,1342.977651,16436.61849,7588.378011,3935.610596,1438.259084
2018,1,5,8,11929.9362,1984.019246,2667.521484,1323.867503,15417.74113,7391.278158,3780.008789,1340.395111
2018,1,5,9,11722.346440000001,1827.01884,2585.864075,1279.881989,14446.358240000001,7145.525472,3575.970011,1271.325531
2018,1,5,10,11395.4694,1697.9550579999998,2531.025146,1214.6816509999999,13525.143719999998,6777.748454000001,3341.165466,1194.919922
2018,1,5,11,11078.34635,1602.138926,2468.244141,1160.080475,12750.72298,6357.368368,3174.704346,1131.275024
